대분류,중분료,업종명,종목명,종목코드,비고
주식,유가,KOSPI,태영건설,'009410,
주식,유가,KOSPI,한화손해보험,'000370,
주식,유가,KOSPI,케이비캐피탈,'021960,
주식,유가,KOSPI,STX,'011810,
주식,유가,KOSPI,대신증권,'003540,
주식,유가,KOSPI,일양약품,'007570,
주식,유가,KOSPI,S&T모티브,'064960,
주식,유가,KOSPI,부산가스,'015350,
주식,유가,KOSPI,조선내화,'000480,
주식,유가,KOSPI,유니드,'014830,
주식,유가,KOSPI,신라교역,'004970,
주식,유가,KOSPI,한진,'002320,
주식,유가,KOSPI,넥센,'005720,
주식,유가,KOSPI,풀무원,'017810,
주식,유가,KOSPI,휴비스,'079980,
주식,유가,KOSPI,화신,'010690,
주식,유가,KOSPI,경동가스,'012320,
주식,유가,KOSPI,신영증권,'001720,
주식,유가,KOSPI,아주캐피탈,'033660,
주식,유가,KOSPI,대원강업,'000430,
주식,유가,KOSPI,모토닉,'009680,
주식,유가,KOSPI,광주신세계,'037710,
주식,유가,KOSPI,현대증권2우B,'003457,
주식,유가,KOSPI,한솔테크닉스,'004710,
주식,유가,KOSPI,제일약품,'002620,
주식,유가,KOSPI,일진머티리얼즈,'020150,
주식,유가,KOSPI,한미반도체,'042700,
주식,유가,KOSPI,퍼시스,'016800,
주식,유가,KOSPI,벽산,'007210,
주식,유가,KOSPI,아세아시멘트,'183190,
주식,유가,KOSPI,국도화학,'007690,
주식,유가,KOSPI,대덕전자,'008060,
주식,유가,KOSPI,크라운제과,'005740,
주식,유가,KOSPI,맵스리얼티1,'094800,
주식,유가,KOSPI,보령제약,'003850,
주식,유가,KOSPI,세종공업,'033530,
주식,유가,KOSPI,삼익악기,'002450,
주식,유가,KOSPI,일동제약,'000230,
주식,유가,KOSPI,현대차3우B,'005389,
주식,유가,KOSPI,한세예스24홀딩스,'016450,
주식,유가,KOSPI,삼영무역,'002810,
주식,유가,KOSPI,일진전기,'103590,
주식,유가,KOSPI,한국콜마홀딩스,'024720,
주식,유가,KOSPI,금호산업,'002990,
주식,유가,KOSPI,AJ렌터카,'068400,
주식,유가,KOSPI,LS네트웍스,'000680,
주식,유가,KOSPI,S&T중공업,'003570,
주식,유가,KOSPI,롯데관광개발,'032350,
주식,유가,KOSPI,율촌화학,'008730,
주식,유가,KOSPI,대한전선,'001440,
주식,유가,KOSPI,삼화페인트,'000390,
주식,유가,KOSPI,SBI모기지,'950100,
주식,유가,KOSPI,경방,'000050,
주식,유가,KOSPI,세방,'004360,
주식,유가,KOSPI,현대비앤지스틸,'004560,
주식,유가,KOSPI,일진홀딩스,'015860,
주식,유가,KOSPI,한진해운홀딩스,'000700,
주식(ETF),유가,KOSPI,ARIRANG 200,'152100,
주식,유가,KOSPI,일신방직,'003200,
