Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
EVSI,"Envision Solar International, Inc.",3.98,$20.46M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/evsi
EVSIW,"Envision Solar International, Inc.",0.82,n/a,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/evsiw
EPZM,"Epizyme, Inc.",20.58,$1.87B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/epzm
PLUS,ePlus inc.,86.51,$1.17B,1996,Technology,Retail: Computer Software & Peripheral Equipment,https://old.nasdaq.com/symbol/plus
EPSN,Epsilon Energy Ltd.,3.16,$86.54M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/epsn
EQ,"Equillium, Inc.",4.38,$76.11M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/eq
EQIX,"Equinix, Inc.",571.64,$48.75B,2000,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/eqix
EQBK,"Equity Bancshares, Inc.",30.52,$471.31M,2015,Finance,Major Banks,https://old.nasdaq.com/symbol/eqbk
ERIC,Ericsson,8.84,$29.25B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/eric
ERIE,Erie Indemnity Company,165.81,$8.67B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/erie
ERYP,Erytech Pharma S.A.,4.49,$80.54M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/eryp
ESCA,"Escalade, Incorporated",9.33,$133.09M,n/a,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/esca
ESPR,"Esperion Therapeutics, Inc.",55.79,$1.52B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/espr
ESQ,"Esquire Financial Holdings, Inc.",26.09,$196.76M,2017,Finance,Commercial Banks,https://old.nasdaq.com/symbol/esq
ESSA,"ESSA Bancorp, Inc.",16.78,$189.45M,n/a,Finance,Banks,https://old.nasdaq.com/symbol/essa
EPIX,ESSA Pharma Inc.,5.45,$113.15M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/epix
ESTA,Establishment Labs Holdings Inc.,27.27,$561.78M,2018,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/esta
ESTR,"Estre Ambiental, Inc.",0.3343,$17.11M,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/estr
ESTRW,"Estre Ambiental, Inc.",0.003,n/a,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/estrw
VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,50.3,$432.58M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vbnd
VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,33.23,$505.1M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vuse
VIDI,ETF Series Solutions Trust Vident International Equity Fund,25.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vidi
ETON,"Eton Pharmaceuticals, Inc.",6.98,$124.29M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/eton
ETSY,"Etsy, Inc.",44.78,$5.31B,2015,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/etsy
